country_code,country_name,country_flag_link
020,安道爾,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/300px-Flag_of_Andorra.svg.png
784,阿聯,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_United_Arab_Emirates.svg/300px-Flag_of_the_United_Arab_Emirates.svg.png
004,阿富汗,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/300px-Flag_of_Afghanistan.svg.png
028,安地卡及巴布達,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/300px-Flag_of_Antigua_and_Barbuda.svg.png
660,安圭拉,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Anguilla.svg/300px-Flag_of_Anguilla.svg.png
008,阿爾巴尼亞,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/300px-Flag_of_Albania.svg.png
051,亞美尼亞,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/300px-Flag_of_Armenia.svg.png
024,安哥拉,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/300px-Flag_of_Angola.svg.png
010,南極洲,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Antarctica.svg/300px-Flag_of_Antarctica.svg.png
032,阿根廷,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/300px-Flag_of_Argentina.svg.png
016,美屬薩摩亞,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_American_Samoa.svg/300px-Flag_of_American_Samoa.svg.png
040,奧地利,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/300px-Flag_of_Austria.svg.png
036,澳大利亞,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Australia.svg/300px-Flag_of_Australia.svg.png
533,阿魯巴,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Aruba.svg/300px-Flag_of_Aruba.svg.png
248,奧蘭,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Flag_of_%C3%85land.svg/300px-Flag_of_%C3%85land.svg.png
031,亞塞拜然,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/300px-Flag_of_Azerbaijan.svg.png
070,波士尼亞與赫塞哥維納,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/300px-Flag_of_Bosnia_and_Herzegovina.svg.png
052,巴貝多,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/300px-Flag_of_Barbados.svg.png
050,孟加拉國,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/300px-Flag_of_Bangladesh.svg.png
056,比利時,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/300px-Flag_of_Belgium_%28civil%29.svg.png
854,布吉納法索,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/300px-Flag_of_Burkina_Faso.svg.png
100,保加利亞,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/300px-Flag_of_Bulgaria.svg.png
048,巴林,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/300px-Flag_of_Bahrain.svg.png
108,蒲隆地,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Burundi.svg/300px-Flag_of_Burundi.svg.png
204,貝南,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Benin.svg/300px-Flag_of_Benin.svg.png
